y [*] :=
  0 1e-12             67    54.1643       134    82.3499
  1     0.00176979    68    54.7024       135    82.6781
  2     0.164976      69    55.2357       136    83.0042
  3     0.716104      70    55.7644       137    83.3281
  4     1.55749       71    56.2884       138    83.6499
  5     2.58889       72    56.8078       139    83.9697
  6     3.74178       73    57.3228       140    84.2873
  7     4.96811       74    57.8334       141    84.6029
  8     6.23368       75    58.3397       142    84.9164
  9     7.51433       76    58.8417       143    85.2278
 10     8.79335       77    59.3395       144    85.5373
 11    10.0595        78    59.8333       145    85.8447
 12    11.3057        79    60.323        146    86.1502
 13    12.5275        80    60.8087       147    86.4537
 14    13.7227        81    61.2905       148    86.7552
 15    14.8902        82    61.7684       149    87.0547
 16    16.03          83    62.2425       150    87.3523
 17    17.1426        84    62.7129       151    87.648
 18    18.2287        85    63.1796       152    87.9418
 19    19.2893        86    63.6427       153    88.2336
 20    20.3257        87    64.1021       154    88.5236
 21    21.3388        88    64.5581       155    88.8117
 22    22.3299        89    65.0105       156    89.0979
 23    23.2999        90    65.4595       157    89.3823
 24    24.25          91    65.9051       158    89.6649
 25    25.181         92    66.3474       159    89.9456
 26    26.0941        93    66.7863       160    90.2245
 27    26.9898        94    67.222        161    90.5016
 28    27.8692        95    67.6544       162    90.7768
 29    28.733         96    68.0837       163    91.0503
 30    29.5818        97    68.5098       164    91.3221
 31    30.4163        98    68.9328       165    91.592
 32    31.2371        99    69.3527       166    91.8602
 33    32.0448       100    69.7697       167    92.1267
 34    32.8399       101    70.1836       168    92.3914
 35    33.6229       102    70.5945       169    92.6544
 36    34.3944       103    71.0025       170    92.9157
 37    35.1546       104    71.4076       171    93.1753
 38    35.904        105    71.8099       172    93.4332
 39    36.6431       106    72.2093       173    93.6894
 40    37.3721       107    72.6059       174    93.944
 41    38.0914       108    72.9997       175    94.1968
 42    38.8013       109    73.3908       176    94.448
 43    39.5022       110    73.7792       177    94.6976
 44    40.1942       111    74.1648       178    94.9455
 45    40.8778       112    74.5479       179    95.1917
 46    41.5531       113    74.9283       180    95.4364
 47    42.2203       114    75.306        181    95.6794
 48    42.8798       115    75.6812       182    95.9209
 49    43.5317       116    76.0539       183    96.1607
 50    44.1762       117    76.424        184    96.3989
 51    44.8135       118    76.7916       185    96.6355
 52    45.4438       119    77.1567       186    96.8706
 53    46.0673       120    77.5194       187    97.1041
 54    46.6842       121    77.8796       188    97.336
 55    47.2946       122    78.2374       189    97.5664
 56    47.8987       123    78.5928       190    97.7953
 57    48.4966       124    78.9458       191    98.0226
 58    49.0884       125    79.2965       192    98.2483
 59    49.6744       126    79.6448       193    98.4725
 60    50.2546       127    79.9909       194    98.6953
 61    50.8291       128    80.3346       195    98.9165
 62    51.3981       129    80.6761       196    99.1362
 63    51.9617       130    81.0153       197    99.3543
 64    52.5201       131    81.3522       198    99.5711
 65    53.0732       132    81.687        199    99.7863
 66    53.6212       133    82.0196       200   100
;

